workload,kernel,metric,value,unit
reduction,global_atomic,global_load_instructions,125000,instruction
reduction,shared_block,global_load_instructions,125000,instruction
reduction,global_atomic,global_load_sectors,500000,sector
reduction,shared_block,global_load_sectors,500000,sector
reduction,global_atomic,l1_global_reduction_wavefronts,4000000,wavefront
reduction,shared_block,l1_global_reduction_wavefronts,15625,wavefront
reduction,global_atomic,l1_global_reduction_sectors,4000000,sector
reduction,shared_block,l1_global_reduction_sectors,15625,sector
reduction,global_atomic,l2_reduction_requests,3998578,request
reduction,shared_block,l2_reduction_requests,15625,request
reduction,global_atomic,l2_reduction_sectors,3997169,sector
reduction,shared_block,l2_reduction_sectors,15625,sector
reduction,global_atomic,shared_load_bank_conflicts,0,conflict
reduction,shared_block,shared_load_bank_conflicts,0,conflict
reduction,global_atomic,shared_store_bank_conflicts,0,conflict
reduction,shared_block,shared_store_bank_conflicts,0,conflict
reduction,global_atomic,registers_per_thread,16,register
reduction,shared_block,registers_per_thread,16,register
reduction,global_atomic,theoretical_occupancy,100,percent
reduction,shared_block,theoretical_occupancy,100,percent
reduction,global_atomic,dram_throughput,3.09,percent_of_peak
transpose,naive,global_load_requests,524288,request
transpose,tiled_16x16,global_load_requests,524288,request
transpose,padded_16x17,global_load_requests,524288,request
transpose,naive,global_load_sectors,2097152,sector
transpose,tiled_16x16,global_load_sectors,2097152,sector
transpose,padded_16x17,global_load_sectors,2097152,sector
transpose,naive,load_sectors_per_request,4,ratio
transpose,tiled_16x16,load_sectors_per_request,4,ratio
transpose,padded_16x17,load_sectors_per_request,4,ratio
transpose,naive,global_store_requests,524288,request
transpose,tiled_16x16,global_store_requests,524288,request
transpose,padded_16x17,global_store_requests,524288,request
transpose,naive,global_store_sectors,8388608,sector
transpose,tiled_16x16,global_store_sectors,2097152,sector
transpose,padded_16x17,global_store_sectors,2097152,sector
transpose,naive,store_sectors_per_request,16,ratio
transpose,tiled_16x16,store_sectors_per_request,4,ratio
transpose,padded_16x17,store_sectors_per_request,4,ratio
transpose,tiled_16x16,shared_load_bank_conflicts,3747410,conflict
transpose,padded_16x17,shared_load_bank_conflicts,552128,conflict
transpose,tiled_16x16,shared_store_bank_conflicts,22063,conflict
transpose,padded_16x17,shared_store_bank_conflicts,534530,conflict
transpose,tiled_16x16,total_shared_bank_conflicts,3766817,conflict
transpose,padded_16x17,total_shared_bank_conflicts,1082611,conflict
transpose,tiled_16x16,total_shared_wavefronts,6499931,wavefront
transpose,padded_16x17,total_shared_wavefronts,3805953,wavefront
transpose,naive,theoretical_occupancy,100,percent
transpose,tiled_16x16,theoretical_occupancy,100,percent
transpose,padded_16x17,theoretical_occupancy,100,percent
convolution,naive,global_load_requests,2359296,request
convolution,shared_tiled,global_load_requests,1376128,request
convolution,naive,global_load_sectors,7459126,sector
convolution,shared_tiled,global_load_sectors,2520031,sector
convolution,naive,l1_global_load_hit_rate,84.48,percent
convolution,shared_tiled,l1_global_load_hit_rate,53.76,percent
convolution,naive,l1_load_sector_misses,1157494,sector
convolution,shared_tiled,l1_load_sector_misses,1165281,sector
convolution,naive,l2_read_misses,524290,sector
convolution,shared_tiled,l2_read_misses,524290,sector
convolution,naive,dram_bytes_read,16.78,megabyte
convolution,shared_tiled,dram_bytes_read,17.98,megabyte
convolution,naive,shared_load_instructions,0,instruction
convolution,shared_tiled,shared_load_instructions,1179648,instruction
convolution,naive,shared_store_instructions,0,instruction
convolution,shared_tiled,shared_store_instructions,196608,instruction
convolution,naive,total_shared_bank_conflicts,0,conflict
convolution,shared_tiled,total_shared_bank_conflicts,1188094,conflict
convolution,naive,registers_per_thread,27,register
convolution,shared_tiled,registers_per_thread,46,register
convolution,naive,theoretical_occupancy,100,percent
convolution,shared_tiled,theoretical_occupancy,83.33,percent
convolution,naive,achieved_occupancy,77.22,percent
convolution,shared_tiled,achieved_occupancy,75.72,percent
convolution,naive,eligible_warps_per_scheduler,1.95,warp
convolution,shared_tiled,eligible_warps_per_scheduler,1.06,warp
convolution,naive,issued_warps_per_scheduler,0.65,warp
convolution,shared_tiled,issued_warps_per_scheduler,0.51,warp
convolution,naive,no_eligible_warp,34.99,percent
convolution,shared_tiled,no_eligible_warp,49.05,percent
convolution,naive,stall_barrier,0,percent
convolution,shared_tiled,stall_barrier,4.74,percent
convolution,naive,stall_mio_throttle,0.38,percent
convolution,shared_tiled,stall_mio_throttle,1.83,percent
convolution,naive,stall_long_scoreboard,6.21,percent
convolution,shared_tiled,stall_long_scoreboard,4.34,percent
